unit,indic_is,ind_type,geo\time	2011 	2013 	2015 
PC_IND,I_IUWIKI,M_Y16_74,LV	28 	23 	19 
PC_IND,I_IUWIKI,M_Y16_74,MK	: 	18 	26 
PC_IND,I_IUWIKI,M_Y16_74,MT	38 	34 	49 
PC_IND,I_IUWIKI,M_Y16_74,NL	57 	68 	61 
PC_IND,I_IUWIKI,M_Y16_74,NO	76 	68 	72 
PC_IND,I_IUWIKI,M_Y16_74,PL	26 	29 	29 
PC_IND,I_IUWIKI,M_Y16_74,PT	34 	38 	43 
PC_IND,I_IUWIKI,M_Y16_74,RO	16 	14 	17 
PC_IND,I_IUWIKI,M_Y16_74,RS	: 	: 	38 
PC_IND,I_IUWIKI,M_Y16_74,SE	61 	67 	61 
PC_IND,I_IUWIKI,M_Y16_74,SI	33 	41 	36 
PC_IND,I_IUWIKI,M_Y16_74,SK	31 	30 	37 
PC_IND,I_IUWIKI,M_Y16_74,TR	: 	17 	28 
PC_IND,I_IUWIKI,M_Y16_74,UK	45 	50 	57 
PC_IND,I_IUWIKI,RETIR_OTHER,AT	27 	28 	31 
PC_IND,I_IUWIKI,RETIR_OTHER,BE	14 	19 	22 
PC_IND,I_IUWIKI,RETIR_OTHER,BG	3 	2 	6 
PC_IND,I_IUWIKI,RETIR_OTHER,CY	10 	13 	22 
PC_IND,I_IUWIKI,RETIR_OTHER,CZ	8 	12 	19 
PC_IND,I_IUWIKI,RETIR_OTHER,DE	31 	36 	42 
PC_IND,I_IUWIKI,RETIR_OTHER,DK	27 	31 	38 
PC_IND,I_IUWIKI,RETIR_OTHER,EA	19 	24 	24 
PC_IND,I_IUWIKI,RETIR_OTHER,EE	15 	18 	27 
PC_IND,I_IUWIKI,RETIR_OTHER,EL	7 	9 	13 
PC_IND,I_IUWIKI,RETIR_OTHER,ES	12 	16 	23 
PC_IND,I_IUWIKI,RETIR_OTHER,EU27_2007	17 	21 	23 
PC_IND,I_IUWIKI,RETIR_OTHER,EU27_2020	16 	21 	21 
PC_IND,I_IUWIKI,RETIR_OTHER,EU28	17 	21 	23 
PC_IND,I_IUWIKI,RETIR_OTHER,FI	30 	41 	40 
PC_IND,I_IUWIKI,RETIR_OTHER,FR	21 	29 	13 
PC_IND,I_IUWIKI,RETIR_OTHER,HR	3 	10 	16 
PC_IND,I_IUWIKI,RETIR_OTHER,HU	11 	13 	21 
PC_IND,I_IUWIKI,RETIR_OTHER,IE	9 	14 	13 
PC_IND,I_IUWIKI,RETIR_OTHER,IS	27 	38 	: 
PC_IND,I_IUWIKI,RETIR_OTHER,IT	9 	13 	16 
PC_IND,I_IUWIKI,RETIR_OTHER,LT	4 	5 	9 
PC_IND,I_IUWIKI,RETIR_OTHER,LU	43 	61 	68 
PC_IND,I_IUWIKI,RETIR_OTHER,LV	9 	8 	5 
PC_IND,I_IUWIKI,RETIR_OTHER,MK	: 	3 	6 
PC_IND,I_IUWIKI,RETIR_OTHER,MT	17 	13 	25 
PC_IND,I_IUWIKI,RETIR_OTHER,NL	31 	42 	36 
PC_IND,I_IUWIKI,RETIR_OTHER,NO	40 	38 	48 
PC_IND,I_IUWIKI,RETIR_OTHER,PL	8 	9 	11 
PC_IND,I_IUWIKI,RETIR_OTHER,PT	9 	9 	13 
PC_IND,I_IUWIKI,RETIR_OTHER,RO	2 	3 	5 
PC_IND,I_IUWIKI,RETIR_OTHER,RS	: 	: 	17 
PC_IND,I_IUWIKI,RETIR_OTHER,SE	33 	35 	30 
PC_IND,I_IUWIKI,RETIR_OTHER,SI	7 	11 	9 
