BSL,PER,T,TOTAL,LT	2794184 	2793592 	2575553 	2339698 	2137939 	1959630 	1825897 	1738949 	1688303 	1680055 
BSL,PER,T,TOTAL,LU	613894 	626031 	692722 	739137 	769048 	782884 	787429 	787026 	783653 	781193 
BSL,PER,T,TOTAL,LV	1919968 	1907094 	1712746 	1536108 	1395039 	1275102 	1181968 	1117481 	1084591 	1081686 
BSL,PER,T,TOTAL,MT	493559 	506951 	588691 	634910 	668373 	693613 	706915 	705925 	696817 	689359 
BSL,PER,T,TOTAL,NL	17282163 	17404793 	17969884 	18185792 	18142292 	18014595 	17988244 	18020249 	17988115 	17967454 
BSL,PER,T,TOTAL,NO	5328212 	5367329 	5765319 	6095952 	6351119 	6544661 	6709767 	6855562 	6958409 	7046899 
BSL,PER,T,TOTAL,PL	37972812 	37941122 	37018453 	35661656 	34102204 	32519968 	30890756 	29295630 	28185373 	27655094 
BSL,PER,T,TOTAL,PT	10276617 	10291457 	10089138 	9786632 	9375347 	8910843 	8481486 	8193261 	8050731 	7980639 
BSL,PER,T,TOTAL,RO	19414458 	19281118 	17808000 	16576187 	15502837 	14540962 	13688060 	13110335 	12838968 	12780621 
BSL,PER,T,TOTAL,SE	10230185 	10322613 	11099033 	11693373 	12254064 	12708255 	13065090 	13352899 	13528669 	13659849 
BSL,PER,T,TOTAL,SI	2080908 	2095314 	2106316 	2081622 	2043751 	1989404 	1938253 	1902751 	1889004 	1888364 
BSL,PER,T,TOTAL,SK	5450421 	5457679 	5440730 	5312439 	5147215 	4953801 	4724046 	4516760 	4391975 	4346004 
