freq,unit,sex,age,geo\TIME_PERIOD	1960 	1961 	1962 	1963 	1964 	1965 	1966 	1967 	1968 	1969 	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,NR,T,TOTAL,HR	4127422 	4152939 	4181645 	4211778 	4239572 	4266180 	4295665 	4325736 	4351629 	4379627 	4403352 	4421151 	4441399 	4459729 	4480592 	4500727 	4523436 	4548432 	4570709 	4591460 	4598095 	4601469 e	4621548 e	4646921 e	4669587 e	4690983 e	4711852 e	4731041 e	4748450 e	4761965 e	4772556 e	4782179 e	4595865 e	4555771 e	4645155 e	4658893 e	4581167 e	4533028 e	4536812 e	4527460 e	4497735 e	4295406 b	4305494 	4305384 	4305725 	4310861.0 	4312487.0 	4313530.0 	4311967.0 	4309796.0 	4302847.0 	4289857 	4275984 	4262140 	4246809 	4225316 	4190669 	4154213 	4105493 	4076246 	4058165 	4036355 
A,NR,T,TOTAL,HU	9961044 	10005980 	10049935 	10071715 	10104179 	10135490 	10160380 	10196926 	10236282 	10275347 	10322099 	10353721 	10381352 	10415626 	10448484 	10508956 	10572094 	10625259 	10670802 	10698841 	10709463 	10712781 	10710914 	10700155 	10678770 	10657420 	10640006 	10621121 	10604360 	10588614 	10374823 	10373153 	10373647 	10365035 	10350010 	10336700 	10321229 	10301247 	10279724 	10253416 	10221644 	10200298 	10174853 	10142362 	10116742 	10097549.0 	10076581.0 	10066158.0 	10045401.0 	10030975.0 	10014324.0 	9985722 	9931925 b	9908798 	9877365 	9855571 	9830485 	9797561 	9778371 	9772756 	9769526 	9730772 
A,NR,T,TOTAL,IE	2835500 	2821700 	2827100 	2845000 	2860300 	2872800 	2881800 	2895800 	2909100 	2922000 	2943300 	2971200 	3012900 	3060800 	3111100 	3163900 	3215200 	3260900 	3303500 	3354700 	3392800 	3432800 	3473200 	3498400 	3522800 	3542046 	3534117 	3545263 	3534850 	3515048 	3506970 	3520977 	3547492 	3569367 	3583154 	3597617 	3620065 	3654955 	3693386 	3732006 	3777565 	3832783 	3899702 	3964191 	4028851 	4111672.0 	4208156.0 	4340118.0 	4457765.0 	4521322.0 	4549428.0 	4570881 	4589287 	4609779 	4637852 	4677627 	4726286 	4784383 	4830392 	4904240 e	4964440 	5006907 
A,NR,T,TOTAL,IS	173855 	177292 	180765 	183991 	187314 	190652 	193919 	197221 	200281 	202695 	204042 	204834 	207361 	210912 	213722 	216695 	219262 	221046 	222552 	224522 	226948 	229327 	232182 	235537 	238416 	240606 	242203 	244157 	247561 	251919 	253785 	255866 	259727 	262386 	265064 	266978 	267958 	269874 	272381 	275712 	279049 	283361 	286575 	288471 	290570 	293577.0 	299891.0 	307672.0 	315459.0 	319368.0 	317630.0 	318452 	319575 	321857 	325671 	329100 	332529 	338349 	348450 	356991 	364134 	368792 
A,NR,T,TOTAL,IT	50025500 	50373900 	50698800 	51060100 	51443900 	51906800 	52317900 	52720100 	53080900 	53390600 	53685300 	53958400 	54188579 	54574111 	54928700 	55293036 	55588966 	55847553 	56063269 	56247017 	56388480 	56479285 	56524064 	56563031 	56565117 	56588319 	56597823 	56594487 	56609375 	56649201 	56694360 	56744119 	56772923 	56821250 	56842392 	56844408 	56844197 	56876364 	56904379 	56909109 	56923524 	56960692 	56987507 	57130506 	57495900 	57874753.0 	58064214.0 	58223744.0 	58652875.0 	59000586.0 	59190143.0 	59364690 	59394207 	59685227 	60782668 	60795612 	60665551 	60589445 	60483973 	59816673 b	59641488 	59257566 p
A,NR,T,TOTAL,LI	16274 	16628 	17125 	17761 	18425 	19085 	19304 	19916 	20433 	21237 	20930 	21350 	21850 	22414 	23156 	23745 	23947 	24169 	24715 	25340 	25809 	25215 	26130 	26380 	26512 	26680 	27076 	27399 	27714 	28181 	28452 	29032 	29386 	29868 	30310 	30629 	30923 	31143 	31320 	32015 	32426 	32863 	33525 	33863 	34294 	34600.0 	34905.0 	35168.0 	35356.0 	35589.0 	35894.0 	36149 	36475 	36838 	37129 	37366 	37622 	37810 	38114 	38378 	38747 	39055 p
A,NR,T,TOTAL,LT	2755600 	2801500 	2845600 	2881100 	2916800 	2953600 	2989300 	3026800 	3062000 	3095700 	3118941 	3160437 	3197645 	3229598 	3259277 	3288510 	3314794 	3342533 	3367538 	3391490 	3404194 	3422210 	3443684 	3470673 	3499711 	3528698 	3560388 	3597439 	3635295 	3674802 	3693708 	3701968 	3706299 	3693929 	3671296 	3642991 	3615212 	3588013 	3562261 	3536401 	3512074 	3486998 	3454637 	3431497 	3398929 	3355220.0 	3289835.0 	3249983.0 	3212605.0 	3183856.0 	3141976.0 	3052588 	3003641 	2971905 	2943472 	2921262 	2888558 	2847904 	2808901 	2794184 	2794090 	2795680 
A,NR,T,TOTAL,LU	313050 	314889 	318800 	322700 	325500 	330000 	333000 	334790 	335200 	336500 	338507 	339841 	345000 	348200 	352700 	357400 	360500 	360962 	361753 	362261 	363450 	364850 	365600 	365450 	365794 	366202 	367210 	369500 	372000 	374900 	379300 	384400 	389600 	394750 	400200 	405650 	411600 	416850 	422050 	427350 	433600 	439000 	444050 	448300 	454960 	461230.0 	469086.0 	476187.0 	483799.0 	493500.0 	502066.0 	511840 	524853 b	537039 	549680 	562958 	576249 	590667 b	602005 	613894 	626108 	634730 
A,NR,T,TOTAL,LV	2104128 	2137830 	2167531 	2195640 	2226198 	2255048 	2276789 	2289645 	2312795 	2334443 	2351903 	2366424 	2386353 	2404995 	2426642 	2447730 	2464529 	2477449 	2492697 	2503145 	2508761 	2514640 	2524202 	2537958 	2554063 	2570030 	2587716 	2612068 	2641097 	2665770 	2668140 	2658161 	2643000 	2585675 	2540904 	2500580 	2469531 	2444912 	2420789 	2399248 	2381715 	2353384 	2320956 	2299390 	2276520 	2249724.0 	2227874.0 	2208840.0 	2191810.0 	2162834.0 	2120504.0 	2074605 	2044813 	2023825 	2001468 	1986096 	1968957 	1950116 	1934379 	1919968 	1907675 	1893223 
A,NR,T,TOTAL,MC	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	32828 	33085.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,T,TOTAL,MD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3644070 	3635112 	3627812 	3618312 	3607435 	3600436.0 	3589936.0 	3581110.0 	3572703.0 	3567512.0 	3563695.0 	3560430 	3559541 	3559497 	3557634 	3555159 	: 	3550852 	: 	: 	: 	: 
